Дата и время,Время обработки (сек),Размер до (Кб),Размер после (Кб),Степень сжатия
2025-04-19 10:38:04,10.687928438186646,1030.84,254.77,2
2025-04-19 10:39:05,10.565677881240845,1030.84,198.5,5
2025-05-03 10:26:53,2.823948621749878,1030.84,109.52,

2025-05-03 10:45:02,2.94596004486084,1030.84,109.52,2
2025-05-03 10:45:28,2.984511375427246,1030.84,109.52,2
2025-05-03 10:47:05,2.8644988536834717,1030.84,68.11,5
2025-05-03 10:47:38,2.815788984298706,1030.84,109.52,2
2025-05-03 10:48:16,2.768043041229248,1030.84,68.11,5
2025-05-03 10:49:27,2.9317121505737305,1030.84,262.25,2
2025-05-03 10:50:09,19.49074125289917,5138.39,895.54,2
2025-05-03 10:51:08,19.50098156929016,5138.39,679.8,5
2025-05-03 10:52:22,19.781906604766846,5138.39,895.54,2
2025-05-03 10:53:13,20.138344049453735,5138.39,679.8,5
2025-05-03 10:55:09,19.362420320510864,5138.39,679.8,5
